group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60,dice_val_epoch65,dice_val_epoch70,dice_val_epoch75,dice_val_epoch80,dice_val_epoch85,dice_val_epoch90,dice_val_epoch95
A_baseline,42,0.1,65,0.7750305902390253,87,True,0.5406200743856884,0.5790884210949853,0.6079485615094503,0.6365138377462115,0.6638183480217343,0.6921767053149995,0.7181749031657264,0.731242108912695,0.7435412179856074,0.7489507595698038,0.7588669118427095,0.7587969473430088,0.7652632253510612,0.7671146506354922,0.7684940979594276,0.7727111322539193,0.7735053357623872,0.773670806771233,0.7742327508472261
KR_B_layer1,42,0.1,65,0.7750380521728879,74,True,0.5621343836897895,0.5800494324593317,0.6108888785044352,0.6312054509208316,0.6573158275513422,0.6886075479643685,0.7183810018357777,0.7389888082231794,0.7512431456929162,0.7605458753449577,0.7678556896391369,0.7642917633056641,0.7726729171616691,0.7723126439821153,0.7723873938832965,0.775973243372781,,,
A_baseline,42,0.25,164,0.8181035291580927,44,True,0.5922973922320774,0.6360007723172506,0.722772444997515,0.7556353864215669,0.7740642400014968,0.7922249436378479,0.8005607809339251,0.8055817484855652,0.8042277892430624,0.8038985785983858,,,,,,,,,
KR_B_layer1,42,0.25,164,0.8267855842908224,56,True,0.5942698631967817,0.6422182548613775,0.7368520157677787,0.7618214374496823,0.7785198858806065,0.7876896489234197,0.8025284295990354,0.8075499761672247,0.8039458990097046,0.8084279469081334,0.8036368148667472,0.8119810337112063,0.8149390986987523,,,,,,
A_baseline,42,0.5,329,0.8363595803578695,57,True,0.6388153802780878,0.7475576571055821,0.7951373826889765,0.7891447146733602,0.8122857582001459,0.8247281852222624,0.823704617364066,0.8268709296271914,0.8226705051603771,0.8359360694885254,0.832967480023702,0.834650422845568,0.8317668579873585,,,,,,
KR_B_layer1,42,0.5,329,0.8353299555324373,57,True,0.6469091375668844,0.7623412183352879,0.7911255529948643,0.7950350840886434,0.8116724803334191,0.818980180081867,0.8230026307560149,0.8259436516534715,0.8194084536461603,0.8331524076915923,0.8266133325440543,0.8357788835253034,0.830220259371258,,,,,,
A_baseline,42,0.75,493,0.8513969211351304,56,True,0.7194941866965521,0.7853795545441764,0.7835604434921628,0.8049301732154119,0.8309664839789981,0.8356342798187619,0.8344115586507888,0.8332626138414655,0.8363722534406752,0.8433655755860465,0.8432181307247707,0.8438423758461362,0.8464253090676808,,,,,,
KR_B_layer1,42,0.75,493,0.850019097328186,56,True,0.719011610462552,0.7743044552348909,0.7887914748418898,0.812709663595472,0.8255270095098586,0.8322724870273045,0.8361595982596988,0.8304497684751239,0.8364102045694987,0.8396509545189994,0.8425909337543306,0.8469309409459432,0.8438523752348763,,,,,,
A_baseline,42,1.0,658,0.8536727570352101,56,True,0.7453491801307315,0.807614823182424,0.8141226967175802,0.8236384562083653,0.8226547042528788,0.8271931381452651,0.8416556999796913,0.8417421919958932,0.8433199184281486,0.8421322816894168,0.8418565335727873,0.8465696913855416,0.8501833166394915,,,,,,
KR_B_layer1,42,1.0,658,0.8539871999195644,39,True,0.7537989616394043,0.7986407279968262,0.8139960169792175,0.819482011454446,0.8308931362061274,0.8254903753598531,0.8502731578690665,0.8508393083299909,0.8455794822602045,,,,,,,,,,
