condition,layer,seed,frob_mean,cosine_mean
Baseline,layer1,42,0.014339,0.999887
Baseline,layer1,123,0.012839,0.999915
Baseline,layer1,256,0.016094,0.999868
Baseline,layer2,42,0.023704,0.999711
Baseline,layer2,123,0.023682,0.999705
Baseline,layer2,256,0.025017,0.999692
Fourier-L1,layer1,42,0.011106,0.999935
Fourier-L1,layer1,123,0.011581,0.999930
Fourier-L1,layer1,256,0.014473,0.999905
Fourier-L1,layer2,42,0.021371,0.999764
Fourier-L1,layer2,123,0.024264,0.999685
Fourier-L1,layer2,256,0.025306,0.999687
Fourier-L2,layer1,42,0.016424,0.999857
Fourier-L2,layer1,123,0.015145,0.999872
Fourier-L2,layer1,256,0.018475,0.999822
Fourier-L2,layer2,42,0.030116,0.999828
Fourier-L2,layer2,123,0.025556,0.999847
Fourier-L2,layer2,256,0.033689,0.999810
KR-L1,layer1,42,0.010530,0.999944
KR-L1,layer1,123,0.010533,0.999943
KR-L1,layer1,256,0.012759,0.999921
KR-L1,layer2,42,0.024059,0.999711
KR-L1,layer2,123,0.025284,0.999660
KR-L1,layer2,256,0.025156,0.999680
KR-L2,layer1,42,0.015551,0.999876
KR-L2,layer1,123,0.015365,0.999874
KR-L2,layer1,256,0.017453,0.999839
KR-L2,layer2,42,0.021303,0.999877
KR-L2,layer2,123,0.019586,0.999871
KR-L2,layer2,256,0.021257,0.999866
