mask_name,iou,dice,size_error,pred_px,gt_px,total_px
sample_0000.png,0.8451,0.916,-0.0793,17210,18692,262144
sample_0001.png,0.7029,0.8255,0.1468,15579,13585,262144
sample_0002.png,0.5769,0.7317,0.7333,7755,4474,262144
sample_0003.png,0.6201,0.7655,0.6127,8449,5239,262144
sample_0004.png,0.5283,0.6914,0.8926,33872,17897,262144
sample_0005.png,0.7614,0.8645,0.1763,29087,24727,262144
sample_0006.png,0.7727,0.8718,0.1404,22260,19519,262144
sample_0007.png,0.7949,0.8857,0.0751,35803,33303,262144
sample_0008.png,0.7713,0.8709,0.1843,12750,10766,262144
sample_0009.png,0.577,0.7318,0.346,10771,8002,262144
