fraction_pct,condition,inject_block,layer1_0_conv1_frob,layer1_0_conv1_cosine,layer1_0_conv2_frob,layer1_0_conv2_cosine,layer2_0_conv1_frob,layer2_0_conv1_cosine
10,Baseline,none,0.006824,0.999971,0.007790,0.999963,0.009137,0.999949
25,Baseline,none,0.009452,0.999943,0.011065,0.999927,0.012907,0.999903
50,Baseline,none,0.011947,0.999914,0.013883,0.999889,0.016799,0.999840
75,Baseline,none,0.014642,0.999876,0.016605,0.999846,0.020729,0.999775
100,Baseline,none,0.019499,0.999803,0.022232,0.999735,0.026916,0.999647
10,B_layer1,layer1,0.005029,0.999984,0.008752,0.999955,0.008539,0.999956
25,B_layer1,layer1,0.007353,0.999968,0.013101,0.999904,0.013183,0.999900
50,B_layer1,layer1,0.008468,0.999958,0.017536,0.999830,0.016971,0.999844
75,B_layer1,layer1,0.008860,0.999955,0.019885,0.999785,0.019745,0.999795
100,B_layer1,layer1,0.010925,0.999938,0.025366,0.999670,0.026246,0.999664
