fraction_pct,condition,inject_block,enc1_conv0_frob,enc1_conv0_cosine,enc1_conv3_frob,enc1_conv3_cosine,enc2_conv0_frob,enc2_conv0_cosine
10,Baseline,none,0.000301,0.015625,0.176834,0.996142,0.007105,0.007812
25,Baseline,none,0.000784,0.015625,0.462793,0.971373,0.012549,0.007812
50,Baseline,none,0.000955,0.015625,0.513479,0.964636,0.014854,0.007812
75,Baseline,none,0.001736,0.015624,0.810943,0.879642,0.019593,0.007812
100,Baseline,none,0.002110,0.015623,0.951209,0.755407,0.023557,0.007812
10,Enc1-L1,enc1,0.001738,0.999998,0.024766,0.999684,0.007334,0.007812
25,Enc1-L1,enc1,0.002951,0.999995,0.032107,0.999474,0.010269,0.007812
50,Enc1-L1,enc1,0.002141,0.999997,0.034835,0.999381,0.012865,0.007812
75,Enc1-L1,enc1,0.002349,0.999996,0.043766,0.999022,0.019325,0.007812
100,Enc1-L1,enc1,0.002367,0.999996,0.045979,0.998921,0.022773,0.007812
