group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60,dice_val_epoch65
A_baseline,42,0.1,65,0.759009769984654,59,True,0.611120940673919,0.6778942516871861,0.7045001699810937,0.7185061914580209,0.7271840402058193,0.7291347980499268,0.7378748683702379,0.7455193854513622,0.7485458765711103,0.7514519265719822,0.7536973243667966,0.7563882413364592,0.7478435919398353
B_enc1,42,0.1,65,0.7609296355928693,53,True,0.5588769827570234,0.6895833441189357,0.7174087933131627,0.7238451214063735,0.7426540397462391,0.7444611532347543,0.7492443379901704,0.7516698979196095,0.7567183119910104,0.7579630755242848,0.7576772882824853,0.7605821319988796,
A_baseline,42,0.25,164,0.7858196724028814,59,True,0.6958176096280416,0.718064322358086,0.7471318812597365,0.7570527366229466,0.7662000088464647,0.7681588530540466,0.7765143542062669,0.7777848499161857,0.7808845667611986,0.7771046445483253,0.7770695544424511,0.776827505656651,0.7773326181230091
B_enc1,42,0.25,164,0.7978643831752595,46,True,0.698184677532741,0.7475623601958865,0.7617929407528469,0.7627575709706261,0.7818577119282314,0.7830961488542103,0.792286217212677,0.7911009589831034,0.7962601355143956,0.797872006893158,0.7942233681678772,,
A_baseline,42,0.5,329,0.7942699534552438,24,True,0.725852872644152,0.7486999943142846,0.7832375906762623,0.7778930720828828,0.7801006521497454,0.7919041514396667,,,,,,,
B_enc1,42,0.5,329,0.8181209422293163,48,True,0.749295018968128,0.7715314087413606,0.7907086979775202,0.7995266403470721,0.804570354166485,0.809177299340566,0.8154177608944121,0.8086836139361063,0.8139124200457618,0.8176967870621454,0.817428313550495,,
A_baseline,42,0.75,493,0.8167136794044858,41,True,0.749415173417046,0.7761082024801345,0.7822117578415644,0.7952992206528073,0.8030909782364255,0.8064419683955965,0.8117660738172985,0.8079539367130825,0.8097215266454787,0.8136838816461109,,,
B_enc1,42,0.75,493,0.8244236849603199,41,True,0.7569349039168585,0.7944083923385257,0.8002074360847473,0.8030684845788139,0.8165459632873535,0.8186364287421817,0.8220158190954299,0.8172243805158705,0.8228889419918969,0.8217268557775588,,,
A_baseline,42,1.0,658,0.8140201795668829,24,True,0.7716806814784095,0.7651750331833249,0.7955214693432763,0.8118480103356498,0.8055951396624247,0.8079682560194106,,,,,,,
B_enc1,42,1.0,658,0.8271747259866624,38,True,0.7724208746637616,0.8045872932388669,0.8155212175278437,0.8198028490656898,0.8123850652149746,0.8166907174246651,0.8202161050978161,0.8269969423611959,0.8202925182524181,,,,
