fraction_pct,condition,inject_block,enc1_conv0_frob,enc1_conv0_cosine,enc1_conv3_frob,enc1_conv3_cosine,enc2_conv0_frob,enc2_conv0_cosine
10,Baseline,none,0.000223,0.015625,0.134236,0.997757,0.006195,0.007812
25,Baseline,none,0.000743,0.015625,0.305165,0.988365,0.008982,0.007812
50,Baseline,none,0.000840,0.015625,0.314165,0.987802,0.009030,0.007812
75,Baseline,none,0.002038,0.015622,0.610761,0.946010,0.013789,0.007812
100,Baseline,none,0.001832,0.015622,0.544834,0.959518,0.012597,0.007812
10,Enc1-L1,enc1,0.002810,0.999995,0.017650,0.999840,0.005038,0.007812
25,Enc1-L1,enc1,0.002880,0.999995,0.023506,0.999715,0.007696,0.007812
50,Enc1-L1,enc1,0.002751,0.999995,0.028510,0.999585,0.011099,0.007812
75,Enc1-L1,enc1,0.002688,0.999995,0.033070,0.999436,0.013538,0.007812
100,Enc1-L1,enc1,0.002629,0.999995,0.036630,0.999310,0.015810,0.007812
