group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55,dice_val_epoch60
A_baseline,42,0.1,100,0.5576540566980839,53,True,0.25006735417991877,0.380311559420079,0.41065343329682946,0.48355280701071024,0.48331692162901163,0.5251634642481804,0.504260215908289,0.5389839811250567,0.5342904338613153,0.5408896086737514,0.5457151979207993,0.5301835453137755
B_enc1,42,0.1,100,0.6193482046946883,37,True,0.22865529544651508,0.3376562297344208,0.4663045620545745,0.4711100310087204,0.5331104910001159,0.6010083630681038,0.5370001010596752,0.5931321764364839,0.5811352347955108,,,
A_baseline,42,0.25,250,0.6157391984015703,33,True,0.34510318376123905,0.49265133403241634,0.5304353050887585,0.5419915616512299,0.5521703585982323,0.6009381981566548,0.5986241493374109,0.5977064371109009,,,,
B_enc1,42,0.25,250,0.6743627460673451,17,True,0.42234504129737616,0.5958262588828802,0.633533775806427,0.6132920198142529,0.6034918008372188,,,,,,,
A_baseline,42,0.5,501,0.6575674097985029,54,True,0.5285644857212901,0.5557981627061963,0.58359962888062,0.6017847526818514,0.6308409124612808,0.6184451514855027,0.6303569842129946,0.6385292150080204,0.6352231400087476,0.6479394510388374,0.6419173777103424,0.6444700323045254
B_enc1,42,0.5,501,0.6836617924273014,25,True,0.5035220347344875,0.6321138003841043,0.6198490057140589,0.6317530311644077,0.6836617924273014,0.6527246534824371,0.6501760017126799,,,,,
A_baseline,42,0.75,751,0.6712628304958344,48,True,0.5071017546579242,0.5932107362896204,0.6012997254729271,0.6391035802662373,0.6441136710345745,0.6491854786872864,0.6420266712084413,0.6602916996926069,0.6505611827597022,0.666599353775382,0.6637487635016441,
B_enc1,42,0.75,751,0.6931983418762684,30,True,0.5420561078935862,0.6270168907940388,0.6288334969431162,0.6080333162099123,0.6060130652040243,0.6931983418762684,0.6527102775871754,0.6708720773458481,,,,
A_baseline,42,1.0,1002,0.6747234044596553,36,True,0.5630127992480993,0.6074458276852965,0.6188062829896808,0.6141737569123507,0.6427910644561052,0.6451982352882624,0.6531604547053576,0.6547525255009532,0.6748211439698935,,,
B_enc1,42,1.0,1002,0.7204200495034456,19,True,0.5649448400363326,0.6018573483452201,0.6315901596099138,0.6588721759617329,0.7012112736701965,,,,,,,
