fraction_pct,condition,inject_block,enc1_conv0_frob,enc1_conv0_cosine,enc2_conv0_frob,enc2_conv0_cosine,enc3_conv0_frob,enc3_conv0_cosine
10,Baseline,none,0.000628,0.015625,0.002633,0.007812,0.002591,0.003906
25,Baseline,none,0.000774,0.015625,0.004757,0.007812,0.004713,0.003906
50,Baseline,none,0.001911,0.015622,0.013478,0.007812,0.013370,0.003906
75,Baseline,none,0.002414,0.015620,0.018700,0.007812,0.018641,0.003906
100,Baseline,none,0.002331,0.015620,0.020413,0.007812,0.020301,0.003906
10,Enc1-L1,enc1,0.002057,0.999997,0.007254,0.007812,0.004728,0.003906
25,Enc1-L1,enc1,0.002503,0.999996,0.008526,0.007812,0.005758,0.003906
50,Enc1-L1,enc1,0.002046,0.999997,0.013303,0.007812,0.010423,0.003906
75,Enc1-L1,enc1,0.002318,0.999996,0.018418,0.007812,0.015688,0.003906
100,Enc1-L1,enc1,0.002174,0.999997,0.017529,0.007812,0.014518,0.003906
