group,seed,train_fraction,n_train,best_val_dice,best_epoch,stopped_early,dice_val_epoch5,dice_val_epoch10,dice_val_epoch15,dice_val_epoch20,dice_val_epoch25,dice_val_epoch30,dice_val_epoch35,dice_val_epoch40,dice_val_epoch45,dice_val_epoch50,dice_val_epoch55
A_baseline,42,0.1,65,0.7846145743415469,32,True,0.39684209085646127,0.6707931785356431,0.7132854461669922,0.7611844681558155,0.7709730551356361,0.7579956083070665,0.7444329829443068,0.7768804203896296,,,
B_enc1,42,0.1,65,0.8128964049475533,28,True,0.5416825300171262,0.6775168180465698,0.7434711711747306,0.7884403410412016,0.8063355911345709,0.7996575491768974,0.8071303793362209,,,,
A_baseline,42,0.25,164,0.8329442654337201,39,True,0.704360618477776,0.7842806634448823,0.76306871005467,0.8151149437541053,0.8160527007920402,0.8150207116490319,0.8293354795092628,0.829706867535909,0.8311218108449664,,
B_enc1,42,0.25,164,0.8371280573663258,47,True,0.7445831298828125,0.8016465902328491,0.7917435850415911,0.8236531274659293,0.8259898651213873,0.8138414791652134,0.8250933658509028,0.8284495075543722,0.8255005535625276,0.8170635302861532,0.8197174554779416
A_baseline,42,0.5,329,0.841026572954087,44,True,0.7876232238042922,0.8153244370505923,0.8255059804235186,0.8245290120442709,0.8268719003314063,0.8320018847783407,0.8315952051253546,0.8338644447780791,0.8400898547399611,0.8359651849383399,
B_enc1,42,0.5,329,0.8378001196043832,17,True,0.8179874618848165,0.8177888535317921,0.8326263200669062,0.8229503376143319,0.8341310279709953,,,,,,
A_baseline,42,0.75,493,0.8432846409933907,20,True,0.7922860894884381,0.8298487975483849,0.8280250543639773,0.8432846409933907,0.8323302354131427,0.8365699819156102,,,,,
B_enc1,42,0.75,493,0.8564245104789734,34,True,0.8182218699228196,0.8131623920940217,0.8125216960906982,0.8218200547354562,0.852553577650161,0.8551523089408875,0.8495299503916786,0.8456457399186634,,,
A_baseline,42,1.0,658,0.8477027444612413,40,True,0.8047219997360593,0.8300490719931466,0.8337057545071557,0.8374561894507635,0.8398994888578143,0.8421630547160194,0.8407765116010394,0.8477027444612413,0.8456695108186632,0.8388479238464719,
B_enc1,42,1.0,658,0.8582957983016968,29,True,0.8129007078352428,0.8240986608323597,0.828144371509552,0.8473670454252333,0.8474125691822597,0.8347895741462708,0.8561773839451018,,,,
